HIP	Vmag	_RA.icrs	_DE.icrs
 	mag	deg	deg
------	-----	------------	------------
378	7.37	1.17193795	14.96523349
379	5.68	1.17492163	67.16644546
380	8.56	1.17814951	17.06973501
381	8.72	1.18522671	51.53383785
382	9.06	1.18810893	-32.36104539
383	8.82	1.18888047	0.05650223
384	8.18	1.19281581	1.53689469
385	9.39	1.19522269	38.17366822
386	9.1	1.20394238	68.1886943
387	8.46	1.20813156	38.78621378
388	9.15	1.21023433	6.41665232
389	8.28	1.21177087	-29.63303898
390	11.67	1.21173505	50.23487154
391	8.18	1.21165132	43.97071886
392	7.93	1.21671568	30.08584979
393	9.21	1.21837159	51.98258613
394	6.09	1.22400057	34.65979682
395	8.31	1.22221243	-30.25660367
396	7.83	1.22461408	-31.9966533
397	8.72	1.2253533	52.24893308
398	6.61	1.22906908	58.53216653
399	6.25	1.23333543	26.64876429
400	7.82	1.23467112	23.26962928
401	8.66	1.23421016	56.05694999
402	8.15	1.23489442	64.78141996
403	8.97	1.23716672	-18.17872587
405	8.15	1.23951143	51.18064349
404	7.47	1.23967704	45.6737933
406	8.63	1.24398732	26.72526209
407	8.13	1.24465022	-70.21244495
408	8.23	1.24513182	57.46873836
409	8.41	1.24608465	-70.49248271
410	6.47	1.25495522	27.67478382
411	9.83	1.25663693	33.36000957
412	8.64	1.25782329	66.51678982
413	7.73	1.26097293	-36.01512081
414	8.64	1.26224009	-59.82812125
415	8.94	1.26382238	9.27996066
416	8.84	1.26466594	1.03770977
417	6.32	1.26592816	-0.50303549
418	5.8	1.27562467	61.31397012
419	8.97	1.2784888	-42.56786797
420	7.53	1.28122987	-52.15174115
421	8.83	            	
422	7.41	1.2868045	67.84000354
423	7.8	1.28846197	30.32903167
425	8.14	1.29080893	-62.8452202
424	6.71	1.29065918	45.2290293
427	8.73	1.29159129	-43.85083063
426	9.37	1.291614	30.33121677
429	8.69	1.2924287	2.39720817
428	9.95	1.29536772	45.78656701
430	7.1	1.29276331	-32.46867187
431	8.09	1.3020762	36.30367105
432	6.88	1.30418762	35.57101204
433	9.48	1.31187914	3.00740499
434	9.04	1.31384483	-27.27170808
435	9.3	1.31375008	-49.14214154
436	8.49	1.32369852	-67.83258968
437	8.3	1.32449032	48.47717146
438	7.95	1.32699769	-1.7940851
440	7.08	1.33301907	68.88443321
441	6.93	1.33319591	-38.85715225
442	8.38	1.33341198	-21.31533823
443	4.61	1.33392048	-5.7076182
439	8.56	1.35178359	-37.35736234
444	8.78	1.33681659	-59.81450412
445	7.42	1.34027218	-56.95564886
447	8.26	1.34253938	8.78780952
446	7.71	1.34260797	-79.25375159
448	6.91	1.34266278	3.60609178
449	9.16	1.3448236	-33.49936259
450	8.99	1.34993751	28.54372387
451	8.63	1.35124835	16.32900639
452	9.9	1.35575742	21.56940021
453	7.59	1.35610519	-3.85167334
454	7.39	1.36007906	-14.42219178
455	11.99	1.36464041	76.29156732
456	7.78	1.36557606	-37.30253632
457	7.47	1.36674589	-42.88738735
458	6.97	1.36767632	-7.66542028
459	8.82	1.36854894	-61.22585337
460	9.13	1.37020961	22.22449206
461	7.86	1.37102488	34.1057203
462	7.13	1.37984692	-9.61747028
463	9.45	1.38324786	-35.12973833
464	12.04	1.38381825	-31.96783723
465	8.78	1.39103433	76.28581784
466	7.23	1.39554234	53.17169369
467	9.73	1.39670834	-47.56935146
468	7.36	1.39898659	-61.30987265
469	7.36	1.4010779	-51.26049133
470	8.47	1.40401191	43.40142075
471	9.37	1.41189789	-58.28954015
472	6.99	1.41553563	55.70989788
473	8.2	1.42088697	45.81208093
474	8.36	1.42019408	44.46867587
475	8.22	1.42363798	58.31325948
476	5.55	1.42483879	13.39626645
477	9.91	1.42899895	-29.96063479
478	9.67	1.42937257	-22.50977598
480	8.6	1.4301431	-15.36548338
479	10.07	1.43019054	25.61517037
481	10.15	1.43356092	-36.77863901
482	7.75	1.43519064	17.84029044
483	9.21	1.43935992	81.07147149
484	9.66	1.44162639	-19.67024678
485	8.47	1.44779866	47.0872924
486	9.37	1.45710213	-52.82006307
487	9.44	1.46363485	78.73851555
488	9.99	1.46215333	-68.55137303
489	10.38	1.46591029	2.76432472
490	7.51	1.46893529	-41.75306779
491	8.91	1.46997633	12.52735614
493	7.45	1.47811906	18.23500307
492	9.57	1.47851455	-14.43278018
494	8.99	1.4794634	-68.81159943
495	8.58	1.4811307	18.07586831
496	6.9	1.48638093	24.5690046
497	7.55	1.48766372	49.62234345
498	7.93	1.49280084	44.73938122
499	9.71	1.49556877	-54.64062809
500	9.57	1.50018952	-48.67875896
501	8.55	1.50057308	-39.13758462
502	6.62	1.50222842	28.27694911
503	7.89	1.50440625	16.45207757
504	7.51	1.51359358	24.91660032
505	7.36	1.51410879	63.67965631
506	8.66	1.51464565	53.27691489
507	8.51	1.51785443	-84.09820297
508	6.65	1.51772224	40.41853013
509	9.67	1.52150733	-31.44432638
510	7.8	1.53347845	9.71493819
511	8.21	1.53354568	0.12141854
512	7.9	1.53781535	-29.15138187
513	8.94	1.5468689	87.8894244
514	9.82	1.54888974	-23.53857992
515	8.69	1.55480685	-1.88716421
516	8.57	1.55914742	-32.81635005
517	8.89	1.56404473	-55.49869624
518	5.98	1.56589255	58.43673285
519	7.92	1.57021642	-64.24047314
520	7.6	1.57059407	-10.77847737
521	8.22	1.5777123	-1.23809659
522	5.7	1.57989765	-49.07519111
523	12.17	1.57992299	-65.84053835
524	8.75	1.58317278	-12.01718434
525	6.93	1.58420043	40.89874554
526	7.97	1.58430994	60.45712126
527	8.06	1.58665483	68.63610348
528	10.13	1.59086924	-24.60262174
529	7.31	1.60404328	-18.0382521
530	8.35	1.6084411	42.75275982
531	5.57	1.61058271	64.19616861
532	9.85	1.61220675	-74.40109901
533	9.16	1.61286602	-16.7376252
534	9.03	1.6146784	-52.93312951
535	10.07	1.6184596	-43.62776265
536	9.76	1.62196488	27.09010633
537	9.35	1.63053199	-21.50126396
538	10.95	1.63249423	5.82539528
539	8.87	1.64147863	43.78222294
540	6.68	1.64808388	28.55340396
541	9.69	1.64851525	-47.58472934
542	8.05	1.649529	56.51448048
543	10.3	1.65085496	-25.29568524
544	6.07	1.65326652	29.02150171
545	8.51	1.66042889	33.65424925
546	7.71	1.66188365	-36.08476967
547	8.56	1.66498944	-24.62083997
548	8.26	1.66696408	70.16925389
549	11.55	1.67073109	65.58769368
550	8.62	1.67430962	56.32465838
551	10.92	1.68254048	8.65720189
552	10.51	1.68870828	-6.26131076
553	9.83	1.68957186	-21.09253795
554	9.84	1.69284594	-13.74888611
555	9.74	1.6941856	10.0690506
556	8.21	1.69571671	-4.35002631
557	8.72	1.69584846	23.49382201
558	8.03	1.69680263	-70.5894354
559	9	1.69981005	44.61283243
560	6.19	1.70869275	-23.10753988
561	11.79	1.70961596	68.16712275
562	8.22	1.71098272	20.55975893
563	7.93	1.71131547	31.13042261
564	10.18	1.71385585	-45.86387573
565	8.98	1.71814511	1.86102954
566	9.13	1.71816879	49.38211441
567	6.91	1.72203422	-38.87766756
568	8.79	1.72243942	-55.16082818
569	8.23	1.72450236	-3.62626332
570	12.19	1.73080512	-30.60850199
571	10.24	1.73230858	-30.60307235
572	8.83	1.7339063	38.20253921
573	7.62	1.73473676	-43.98522936
574	8.96	1.74799206	-40.41402159
575	10.41	1.74820485	65.53871381
576	8.97	1.74864465	53.97485333
577	9.61	1.75275569	32.87009828
578	8.29	1.75833702	22.84445172
579	8.3	1.76011979	5.28799571
580	8.26	1.76085843	-18.82073359
581	7.44	1.7672431	6.87554793
582	9.52	1.77285982	62.39272922
583	8.2	1.77636106	85.40486055
584	8.68	1.78171871	-15.85015884
585	8.65	1.78252946	-30.56156549
586	10.52	1.78343829	-23.03624871
587	8.41	1.78438869	-37.92916839
588	9.18	1.78470136	14.8237277
589	8.42	1.78789627	72.77521927
590	8.86	1.79242332	34.85379423
591	7.92	1.79590151	46.75697799
592	10.97	1.79750662	65.65377889
593	8.85	1.80241965	6.20428115
594	9.31	1.80304209	-60.07083253
595	10.28	1.80320319	-22.02773193
596	7.56	1.80620342	-76.73092877
597	7.88	1.80744533	73.21029666
598	7.99	1.81028626	20.55571391
599	8.23	1.81406611	-41.88956615
600	8.52	1.81928485	-27.39783784
601	9.14	1.825637	20.96506587
602	6.2	1.82611113	-17.38698966
603	7.64	1.82661435	7.70355831
604	8.95	1.83102964	1.66507696
605	7.48	1.84191568	-56.83690667
606	7.06	1.84393198	-25.35664897
607	7.33	1.84401373	26.45060059
608	8.98	1.84534731	-11.03339602
609	8.24	1.84679654	-11.612953
611	8.53	1.85588408	-40.47956013
610	8.4	1.85791841	-77.49418895
612	7.48	1.86721642	-56.01148286
613	8.46	1.87193777	17.30273693
614	9.29	1.88008045	35.74573893
615	8.57	1.88044596	24.32120739
616	8.7	1.88558763	-23.81871937
617	8.5	1.88655342	32.00874453
618	8.37	1.89478797	-60.6418208
619	6.87	1.8965934	31.66900064
621	7.5	1.90243594	-62.31509496
620	7.39	1.90402954	-86.03875915
624	8.19	1.90595905	-45.11953811
622	7.56	1.90587154	52.77296914
623	8.37	1.90614963	53.52654228
625	7.39	1.90710189	40.07849842
626	6.73	1.90800965	40.14795368
627	8.66	1.91304185	-66.89538706
628	8.25	1.91666013	1.09420403
629	8.47	1.91746783	-7.92132287
630	8.01	1.91856759	39.03477473
631	6.83	1.92066392	-65.93242753
