HIP	RA	DEC	Bayer	Cst
24305	0	0	mu.  	Lep
24327	0	0	kap  	Lep
24504	0	0	     	Aur
24608	0	0	alf  	Aur
24512	0	0	     	Tau
24575	0	0	AE   	Aur
24436	0	0	bet  	Ori
23148	0	0	ksi  	Men
24555	0	0	     	Ori
24836	0	0	     	Cam
24727	0	0	     	Aur
24740	0	0	AR   	Aur
24813	0	0	lam  	Aur
24832	0	0	     	Aur
24674	0	0	tau  	Ori
24822	0	0	n    	Tau
24879	0	0	     	Aur
24659	0	0	omi  	Col
24372	0	0	the  	Dor
24817	0	0	     	Ori
25048	0	0	rho  	Aur
25197	0	0	     	Cam
24845	0	0	lam  	Lep
24873	0	0	nu.  	Lep
25044	0	0	o    	Ori
24829	0	0	zet  	Pic
25192	0	0	     	Aur
25145	0	0	m    	Ori
25142	0	0	m    	Ori
25292	0	0	sig  	Aur
25216	0	0	     	Tau
25278	0	0	     	Tau
25202	0	0	     	Lep
25247	0	0	e    	Ori
25282	0	0	p    	Ori
25281	0	0	eta  	Ori
25302	0	0	     	Ori
25336	0	0	gam  	Ori
25428	0	0	bet  	Tau
25410	0	0	     	Tau
25098	0	0	kap  	Pic
25769	0	0	     	Cam
25541	0	0	phi  	Aur
25499	0	0	     	Tau
25539	0	0	o    	Tau
25473	0	0	psi  	Ori
25555	0	0	     	Tau
25583	0	0	     	Tau
25303	0	0	the  	Pic
25695	0	0	     	Tau
25973	0	0	     	Cam
25606	0	0	bet  	Lep
25737	0	0	     	Ori
25429	0	0	lam  	Dor
25785	0	0	CK   	Ori
25813	0	0	A    	Ori
25861	0	0	n01  	Ori
25984	0	0	chi  	Aur
25945	0	0	CE   	Tau
25853	0	0	     	Lep
25930	0	0	del  	Ori
25923	0	0	ups  	Ori
26408	0	0	     	Cam
26064	0	0	     	Tau
25859	0	0	eps  	Col
26093	0	0	     	Ori
25985	0	0	alf  	Lep
26063	0	0	VV   	Ori
26126	0	0	n02  	Ori
26248	0	0	     	Tau
26176	0	0	phi01	Ori
26207	0	0	lam  	Ori
26237	0	0	c    	Ori
26220	0	0	the01	Ori
