HD	RA	DEG	Bayer	Cst
7147	17.9314167	-2.2510278	     	Cet
7218	18.128125	2.4718333	     	Cet
7318	18.43725	24.5837778	phi  	Psc
7344	18.4325	7.5755	zet  	Psc
7345	18.4382083	7.5783889	zet  	Psc
7374	18.531875	16.1335556	     	Psc
7439	18.599875	-7.9235	     	Cet
7446	18.6766667	6.9951944	     	Psc
7476	18.7049167	-0.9743056	     	Cet
7570	18.7940417	-45.5320833	nu.  	Phe
7672	19.1514583	-2.5002222	     	Cet
7727	19.24525	-2.2788056	     	Cet
7769	19.9245833	72.6105556	S    	Cas
7788	18.9395833	-68.87625	kap  	Tuc
7804	19.4499167	3.6145278	f    	Psc
7927	20.0205	58.2316111	phi  	Cas
7964	19.8665833	27.2640833	ups  	Psc
8003	20.271625	64.6581944	     	Cas
8036	19.9512083	-0.509	     	Cet
8126	20.280625	28.7383889	l    	Psc
8207	20.5849583	45.52875	ksi  	And
8335	20.6450833	-0.4496389	     	Cet
8374	20.919	37.715	     	And
8491	21.4829167	68.1299444	psi  	Cas
8511	21.010125	-8.00725	     	Cet
8512	21.0060417	-8.18275	the  	Cet
8538	21.4525	60.2354167	del  	Cas
8705	21.4050417	-14.59875	     	Cet
8723	21.5636667	19.1723333	rho  	Psc
8763	21.6735417	19.2405556	     	Psc
8799	21.912875	45.4069444	ome  	And
8829	21.7148333	-13.0565278	     	Cet
8875	21.9158333	5.3526111	     	Psc
8879	21.7420833	-32.5431111	R    	Scl
8890	37.9461667	89.2641389	alf  	UMi
9021	22.8063333	70.2647778	     	Cas
9053	22.0914167	-43.3177222	gam  	Phe
9057	22.5254167	47.0073889	A    	And
9100	22.470125	18.3556667	     	Psc
9132	22.4004167	-21.6293333	     	Cet
9138	22.5455833	6.1439444	mu.  	Psc
9270	22.8707917	15.3458333	eta  	Psc
9362	22.8124167	-49.0730833	del  	Phe
9408	23.4830417	59.2320833	chi  	Cas
9656	23.7151667	12.5586111	     	Psc
9672	23.6571667	-15.6763611	     	Cet
9766	23.9435	14.6614444	     	Psc
9774	24.6289167	73.0400833	     	Cas
9826	24.1999167	41.4063889	ups  	And
9856	23.9956667	-15.4002222	     	Cet
9906	24.035125	-29.9074444	tau  	Scl
9919	24.2748333	12.1415	pi.  	Psc
9927	24.4979167	48.6285	     	And
10072	24.8375833	44.3861389	chi  	And
10135	24.814125	14.2856389	     	Psc
10144	24.428125	-57.2366667	alf  	Eri
10164	24.919875	16.4058889	     	Psc
10205	25.145	40.5771111	tau  	And
10221	25.5851667	68.0430556	     	Cas
10250	25.7322083	70.6225556	     	Cas
10360	24.9468333	-56.1964444	p    	Eri
10361	24.9491667	-56.1947222	p    	Eri
10380	25.3579583	5.4876111	nu.  	Psc
10425	25.83225	60.5513611	     	Cas
10476	25.6247917	20.2701389	     	Psc
10516	25.9150833	50.6887778	phi  	Per
10537	25.5360417	-32.3268611	pi.  	Scl
10647	25.6214583	-53.7405833	q01  	Eri
10697	26.2327083	20.0834167	     	Psc
10700	26.021375	-15.9395556	tau  	Cet
10761	26.3482917	9.1576389	omi  	Psc
10830	26.4110417	-25.0524444	eps  	Scl
10845	26.6469583	17.4126944	     	Ari
10859	25.3387083	-79.14825	tau01	Hyi
10934	26.5247083	-50.8162222	     	Phe
10939	26.5255833	-53.5221944	q02  	Eri
10982	27.0454167	16.9556389	     	Ari
11154	27.53575	22.2753611	     	Ari
11155	27.5354167	22.2758333	     	Ari
11171	27.396625	-10.6861944	chi  	Cet
11241	27.997125	55.1474167	     	Per
