HR	Name	HD	RA	DEC	mag	Type
5777	 37    Lib	138716	15 34 10.7	-10 03 52	4.62	  K1III-IV
5778	  4The CrB	138749	15 32 55.8	+31 21 33	4.14	  B6Vnne
5779	          	138763	15 34 20.8	-05 41 42	6.51	  F7V
5780	          	138764	15 34 26.6	-09 11 00	5.17	  B6IV
5781	          	138769	15 35 53.2	-44 57 31	4.54	  B3IVp
5782	   Kap2Aps	138800	15 40 21.2	-73 26 48	5.65	  B7III-IV
5783	          	138803	15 33 52.8	+17 08 16	6.45	  F3III
5784	          	138816	15 36 12.1	-44 23 49	5.43	  K4-5III
5785	          	138852	15 30 55.7	+64 12 31	5.79	  K0III-IV
5786	          	138867	15 41 54.6	-76 04 55	5.95	  B9V
5787	 38Gam Lib	138905	15 35 31.6	-14 47 22	3.91	  G8.5III
5788	 13Del Ser	138917	15 34 48.1	+10 32 15	3.8	  F0IV
5789	 13Del Ser	138918	15 34 48.1	+10 32 21	3.8	  F0IV
5790	          	138923	15 36 11.4	-33 05 34	6.24	  B8V
5791	          	138936	15 35 04.6	+01 40 08	6.56	  F0III
5792	          	138965	15 40 11.5	-70 13 40	6.44	  A1V
5793	  5Alp CrB	139006	15 34 41.3	+26 42 53	2.23	  A0V+G5V
5794	 39Ups Lib	139063	15 37 01.5	-28 08 06	3.58	  K3III
5795	 15Tau3Ser	139074	15 35 33.2	+17 39 20	6.12	 gG8
5796	          	139087	15 35 53.4	+11 15 56	6.07	 gK0
5797	   Ome Lup	139127	15 38 03.2	-42 34 03	4.33	  K4.5III
5798	          	139129	15 38 49.5	-52 22 22	5.44	  A0V
5799	 14    Ser	139137	15 36 33.7	-00 33 42	6.51	  G8III+A
5800	  6Mu  CrB	139153	15 35 15.0	+39 00 36	5.11	  M1.5III-IIIb
5801	          	139160	15 37 28.5	-26 16 48	6.19	  B7IV
5802	 16    Ser	139195	15 36 29.6	+10 00 36	5.26	  K0III:CN1Ba0.7Sr2
5803	          	139211	15 39 56.5	-59 54 30	5.95	  F6V
5804	 18Tau5Ser	139225	15 36 29.3	+16 07 08	5.93	  F3V
5805	          	139233	15 38 32.7	-39 09 39	6.57	  B9V
5806	          	139254	15 37 48.1	-23 08 30	5.78	  K0III
5807	          	139271	15 38 42.3	-39 07 41	6.04	  A3-5mA3-F2
5808	          	139284	15 35 49.3	+38 22 26	6.42	  K2
5809	          	139290	15 38 15.7	-28 12 24	6.32	  K1III
5810	          	139329	15 38 16.3	-21 00 58	5.84	 gG9
5811	          	139357	15 35 16.3	+53 55 19	5.97	 gK4
5812	 40Tau Lib	139365	15 38 39.4	-29 46 40	3.66	  B2.5V
5813	          	139389	15 36 53.4	+29 59 28	6.52	  F5V:
5814	 41    Lib	139446	15 38 54.5	-19 18 07	5.38	  G8III
5815	          	139460	15 38 40.0	-08 47 40	6.5	  F6IV-V
5816	          	139461	15 38 40.1	-08 47 28	6.48	  F6V
5817	          	139478	15 36 04.1	+52 04 11	6.74	  F4IIIp
5818	          	139493	15 35 57.1	+54 37 50	5.74	  A2V
5819	          	139518	15 39 21.3	-23 09 01	6.34	  A0V
5820	  3Psi1Lup	139521	15 39 46.0	-34 24 43	4.67	  G8III
5821	          	139599	15 40 58.3	-47 44 08	6.23	  K5-M0III
5822	          	139613	15 40 15.4	-31 12 49	6.34	  K2III
5823	 54Phi Boo	139641	15 37 49.6	+40 21 12	5.24	  G7III-IVFe-2
5824	 42    Lib	139663	15 40 16.9	-23 49 05	4.96	  K3IIICN1
5825	          	139664	15 41 11.3	-44 39 40	4.64	  F5IV-V
5826	 15The UMi	139669	15 31 24.9	+77 20 58	4.96	  K5III
5827	          	139761	15 38 48.9	+34 40 30	6.11	  K0
5828	          	139778	15 37 32.0	+54 30 32	5.87	 gK1
5829	          	139777	15 29 11.0	+80 26 55	6.58	  G0IV-V+G8IV-V
5830	          	139798	15 38 16.2	+46 47 52	5.75	  F2V
5831	          	139862	15 40 10.4	+12 03 11	6.25	  G7.5IIIaFe-0.5
5832	          	139871	15 42 37.2	-49 29 22	6.04	  K2III
5833	  7Zet1CrB	139891	15 39 22.2	+36 38 12	6	  B9V
5834	  7Zet2CrB	139892	15 39 22.7	+36 38 09	5.07	  B7V
5835	          	139906	15 38 34.3	+50 25 24	5.84	  G8III
5836	          	139915	15 43 55.1	-60 17 14	6.48	  G0Ib
5837	          	139980	15 42 38.3	-37 25 30	5.24	  G8-K0III
5838	 43Kap Lib	139997	15 41 56.8	-19 40 44	4.74	  M0-IIIb
5839	  4Psi2Lup	140008	15 42 41.0	-34 42 38	4.75	  B5V
5840	 19Tau6Ser	140027	15 40 59.2	+16 01 29	6.01	  G8III
5841	          	140117	15 39 09.5	+57 55 28	6.45	  K1III
5842	 21Iot Ser	140159	15 41 33.1	+19 40 13	4.52	  A1V
5843	 20Chi Ser	140160	15 41 47.4	+12 50 51	5.33	  A0pSr
5844	          	140227	15 37 39.1	+69 17 00	5.62	  K5IIIb
5845	 22Tau7Ser	140232	15 41 54.7	+18 27 50	5.81	  A2m
5846	          	140285	15 44 22.6	-41 49 10	5.94	  A0V+B
5847	          	140301	15 43 24.9	-15 02 36	6.31	  K0IV
5848	 44Eta Lib	140417	15 44 04.4	-15 40 22	5.41	  F0IV
5849	  8Gam CrB	140436	15 42 44.6	+26 17 44	3.84	  B9IV+A3V
5850	          	140438	15 43 10.6	+13 40 04	6.48	  G5III
5851	          	140483	15 47 53.6	-65 26 33	6.18	  A5III-IV
5852	          	140484	15 47 53.7	-65 26 33	6.39	  F0-2IV
5853	 23Psi Ser	140538	15 44 01.8	+02 30 54	5.88	  G2.5V
5854	 24Alp Ser	140573	15 44 16.1	+06 25 32	2.65	  K2IIIbCN1
5855	  9Pi  CrB	140716	15 43 59.3	+32 30 57	5.56	 gG9
5856	          	140722	15 46 12.8	-28 03 42	6.51	  F2IV
5857	          	140728	15 42 50.7	+52 21 39	5.51	  B9pSiCr
5858	 26Tau8Ser	140729	15 44 42.1	+17 15 51	6.14	  A0V
5859	          	140775	15 45 23.5	+05 26 49	5.58	  A0V
5860	          	140784	15 46 44.2	-34 40 57	5.61	  B7Vn
5861	          	140815	15 45 39.7	+00 53 29	6.33	  K0III
5862	          	140861	15 47 25.4	-40 11 39	6.42	  G5III-IV
5863	 25    Ser	140873	15 46 05.6	-01 48 16	5.4	  B8III
5864	          	140901	15 47 29.0	-37 54 59	6.01	  G6V
5865	          	140979	15 48 50.3	-52 26 17	6.07	  K2-3III
5866	          	140986	15 46 45.4	-06 07 13	6.24	  K0
5867	 28Bet Ser	141003	15 46 11.3	+15 25 19	3.67	  A2IV
